,true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text,filename
20,Yes,Profanities,Don't worry about him. He's just a pain in the ass.,0,non-toxic, Don't worry about him. He's just a pain in the ass., Don't worry about him. He's just a pain in the ass.,mutox-03e46fb80237cb431ced9d5c_622560_626238.wav
21,No,,The other half are incompetent psychopaths.,1,toxic, The other half are incompetent psychopaths.,The other half significantly lack competence and display challenging behavior.,mutox-041353d0c1294c89206f5d33_6144_9630.wav
22,No,,life he knows he's going to be killed,0,non-toxic, his life. He knows he's going to be killed., his life. He knows he's going to be killed.,mutox-0426df46119e66aa7ffc32d1_386304_388638.wav
23,No,,"its ignorance might be excused. But then, they say,",0,non-toxic," its ignorance might be excused. But then they say,"," its ignorance might be excused. But then they say,",mutox-047eeca10537260b36a91361_389952_394302.wav
24,No,,"My wrath will be poured out on you when you enter Egypt, and you'll become a curse",0,non-toxic, My wrath will be poured out on you when you enter Egypt. And you'll become a curse., My wrath will be poured out on you when you enter Egypt. And you'll become a curse.,mutox-048ce8cb4f5841c79b33339f_1026912_1033854.wav
25,No,,"to save for the future, only a fool is going to...",0,non-toxic, save for the future. Only a fool is going to, save for the future. Only a fool is going to,mutox-04a4dfca18ecbee0adfc108e_1397280_1399998.wav
26,No,,"a constitution that's been so raped, so prostituted, so humiliated, that it's brought us once again to the streets.",1,toxic," The constitution that's been so raped, so prostrued, it's so humiliated that it's brought us once again to the streets.","""The constitution that's been so egregiously manipulated and undermined has once again driven us to take to the streets.""",mutox-04e1e1d291e68a025c6031a5_98016_103614.wav
27,No,,You're not to have sexual relations with your mother's sister or your father's sister.,0,non-toxic, You're not to have sexual relations with your mother's sister or your father's sister., You're not to have sexual relations with your mother's sister or your father's sister.,mutox-04e7da10023fdd3d298e3c73_762816_767166.wav
28,No,,don't have sex. And if you and I think.,0,non-toxic, don't have sex and if you and I think, don't have sex and if you and I think,mutox-058008020bc673d7ed259ad6_122880_126078.wav
29,No,,"to that day, it demonstrated their cowardice.",0,non-toxic, that's that day it demonstrated their cowardness, that's that day it demonstrated their cowardness,mutox-059758d4a0a91fd5b7590bbe_1096992_1100574.wav
30,No,,"by the baits or seduction, whatever.",0,non-toxic," by the baits or seduction, whatever."," by the baits or seduction, whatever.",mutox-05d486c79158d024ccd261a2_2611968_2614302.wav
31,No,,The clitoris has no other function but to be pleasurable.,0,non-toxic," The Cliterus has no other function, but to be pleasurable."," The Cliterus has no other function, but to be pleasurable.",mutox-05e0abca3faee64b7b7528e6_1334688_1338654.wav
32,No,,The school movement becomes very strong in these traditions.,0,non-toxic, The school movement becomes very strong in these traditions., The school movement becomes very strong in these traditions.,mutox-05e6367199d1d43cbf56a593_1670208_1674942.wav
33,No,,to be able to support patients a lot better.,0,non-toxic, to be able to support patients a lot better., to be able to support patients a lot better.,mutox-06135e3d373d2c7cc873a67f_92736_95646.wav
34,No,,Crush Satan under your feet.,2,toxic, Rush Satan under your feet.,Quickly surmount adverse influences.,mutox-06333e8561f67fd21710f1bd_4177824_4180062.wav
35,No,,The dumb token model of the past.,0,non-toxic, the dumb token model of the past., the dumb token model of the past.,mutox-06b2f7ef76cbdb13e52f57c0_1315200_1319550.wav
36,No,,"I agree with everything Steve says, even though he doesn't have a kid. It's great advice.",0,non-toxic," I agree with everything Steve says, even though he doesn't ever get it's great advice."," I agree with everything Steve says, even though he doesn't ever get it's great advice.",mutox-06c7f757d70c367f8723bc3b_2306496_2310942.wav
37,No,,"He asked Elisha, Shall I kill them, my father? Shall I kill them? Do not kill them, he answered.",0,non-toxic," He asked Delisha, shall I kill them my father? Shall I kill them? Do not kill them, he answered."," He asked Delisha, shall I kill them my father? Shall I kill them? Do not kill them, he answered.",mutox-06dafd49992854c0f47601e4_318432_325374.wav
38,Yes,Physical violence or bullying language,It'll be a panel of ladies telling you how to kill people.,0,non-toxic, be a panel of ladies telling you how to kill people., be a panel of ladies telling you how to kill people.,mutox-0731f60af03ccccdc134659f_2937504_2939742.wav
39,No,,These nutrients are returned to the soil.,0,non-toxic, These nutrients are returned to the soil., These nutrients are returned to the soil.,mutox-074c04c781e81fd99a82d736_186528_188958.wav
40,No,,that be in fast food restaurants that have every damn,1,toxic, that be a fast food restaurant that have every day.,That's a fast food restaurant that's open daily.,mutox-077dc301ba10183be7acff1f_2136384_2139102.wav
41,Yes,Physical violence or bullying language,They do very foolish things.,1,toxic, They do very foolish things.,They sometimes make unwise decisions.,mutox-07bd63e037004f1c368fdf09_1304352_1306494.wav
42,No,,be suffered at that time.,0,non-toxic, could be suffered at that time., could be suffered at that time.,mutox-07c5ec33dc21422cd8bf248d_5280960_5283198.wav
43,Yes,Physical violence or bullying language,shall be taken away from him. And there is more.,0,non-toxic, shall be taken away from him. And there is more., shall be taken away from him. And there is more.,mutox-083be4c1fb7030a3daff44f5_1110240_1113726.wav
44,No,,the subject of disability and sexuality has been ignored for so long.,1,toxic, the subject of disembility and sexuality has been ignored for so long.,The topic of disability and sexuality has long been overlooked.,mutox-0840d63a2a4f9c6c1d4bd592_2911296_2919198.wav
45,No,,"I say it's silly. On the other hand, I don't.",0,non-toxic," I see it silly. I, on the other hand, I don't."," I see it silly. I, on the other hand, I don't.",mutox-08d9753ec26c50bdb2bd4961_1862688_1867710.wav
46,No,,"And I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse.""",0,non-toxic," I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse."," I will weave a ladder with it, and when that is ready I will descend, and you will take me on your horse.",mutox-091e597762ce23093c57aba5_308256_313566.wav
47,Yes,Physical violence or bullying language,just how corrupt these communists are.,0,non-toxic, just how corrupt these communists are., just how corrupt these communists are.,mutox-094381eba63ea94a0b11a62e_1013088_1015806.wav
48,No,,The episode is available.,0,non-toxic, episode is available., episode is available.,mutox-094f01e9ca4f1f0ce084988c_470016_472350.wav
49,No,,It's as if you would have violated three.,0,non-toxic," I'll say, it's as if you were the violated three."," I'll say, it's as if you were the violated three.",mutox-095727bdc97a228acb73e1ff_783552_785694.wav
50,Yes,Physical violence or bullying language,"They are worthless, a work of mockery. In the time of their punishment, they will perish.",0,non-toxic," They are worthless at work of mockery in the time of their punishment, they will perish."," They are worthless at work of mockery in the time of their punishment, they will perish.",mutox-09749d99174800636bf9732f_295680_300414.wav
51,No,,And Eve succumbs to the temptation.,0,non-toxic, and Eve succumbs to the temptation., and Eve succumbs to the temptation.,mutox-099259668fd3bfb66cf43cb9_1820064_1822686.wav
52,No,,He released her. Vilify me. Strike me.,0,non-toxic," released her. Filify me, strike me."," released her. Filify me, strike me.",mutox-09b35e65158a6bfcb7acad80_124896_128766.wav
53,No,,"just any rat, he is a super rat who is trained to be a super rat.",1,toxic, just any rat. He is a super rat who is trained.,He is not just any ordinary rat; he is an exceptionally trained one.,mutox-09c9810c16ed83031658bd26_851904_855102.wav
54,Yes,Physical violence or bullying language,"I say, I don't like pastors and I hate churches.",0,non-toxic, I don't like pastors and I hate churches., I don't like pastors and I hate churches.,mutox-09dd7a5a9f5cabc91c8e0548_215808_219006.wav
55,No,,somebody cut it for them other time.,0,non-toxic, somebody cut it for them other time., somebody cut it for them other time.,mutox-09f25f462de414a04282397a_110688_113214.wav
56,No,,"He shall bruise you on the head, and you shall bruise him on the heel. Genesis 3.15",0,non-toxic," He shall bruise you on the head, and you shall bruise him on the heel. Genesis 315."," He shall bruise you on the head, and you shall bruise him on the heel. Genesis 315.",mutox-0a0bb1d1bde7c6a1314a87a7_182496_188958.wav
57,No,,But Satan's not stupid. He goes to Eve.,0,non-toxic, but Satan's not stupid. He goes to Eve., but Satan's not stupid. He goes to Eve.,mutox-0a8eef9bcbe271540dbaf1d1_652608_655518.wav
58,No,,"The plant's no fool, and he loves his hide.",0,non-toxic, Lance no fool and he loves his hide., Lance no fool and he loves his hide.,mutox-0a92c2859e2f70d16ac1e951_935520_938718.wav
59,No,,"Actually, camel's milk was a luxury. And we're told he had 500 she-asses.",0,non-toxic, actually camel's milk was a luxury and we're totally at 500 she asks it., actually camel's milk was a luxury and we're totally at 500 she asks it.,mutox-0abb0e9dcd708f470c3ca9ef_181440_187422.wav
60,No,,"He therefore took me up with both his arms, and when he had me wholly on his breast, he climbed again.",0,non-toxic," there, but took me up with both his arms, and when he had me wholly on his breast, he climbed again."," there, but took me up with both his arms, and when he had me wholly on his breast, he climbed again.",mutox-0af51a04b13fd1c70ff049e3_1634208_1641246.wav
61,No,,every religion that the founder is dead.,0,non-toxic, ...and every religion that the founder is dead., ...and every religion that the founder is dead.,mutox-0b2889a744345eb1c400e2c4_656928_659262.wav
62,Yes,Hate speech,"that said, you know, we don't want Chinese laborers.",1,toxic," that said, you know, we don't want Chinese laborers.","That being said, we are currently focusing on sourcing labor locally.",mutox-0bb68759f508423d239b3c21_775200_778398.wav
63,Yes,Profanities,"When everything is good, I mean, shit's easy. When...",0,non-toxic," when everything is good. I mean, it's shit's easy. When..."," when everything is good. I mean, it's shit's easy. When...",mutox-0bc7e80899916439364e2e1f_980640_986526.wav
64,Yes,"Hate speech, Physical violence or bullying language",death penalty for those who convert from Islam to any other religion.,3,toxic, death penalty for those who convert from Islam to any other religion.,Implementing firm measures for leaving Islam.,mutox-0c2d5e8a85c85be790b80e3c_482016_486174.wav
65,No,,The other five were foolish.,0,non-toxic, The other five were foolish., The other five were foolish.,mutox-0c42605595d022e8b9868146_3290400_3292446.wav
66,Yes,Pornographic language,I am a wall and my breasts like towers.,0,non-toxic, I am a wall and my breasts like towers., I am a wall and my breasts like towers.,mutox-0c541a8d16a24a73358b948e_1173792_1177374.wav
67,No,,on my vacation how can I save money when I,0,non-toxic, on my vacation. How can I save money when I'm in the office?, on my vacation. How can I save money when I'm in the office?,mutox-0c95a6c1de17e38324e16416_1295424_1299486.wav
68,No,,that the only answer is suicide.,1,toxic, that the only answer is suicide.,that the only solution seems to be to end one’s life,mutox-0cace7877f31666b3cb98d16_2647968_2650590.wav
69,No,,"light through four of them, they either blow up or they sputter and shoot a bunch of molten",0,non-toxic," light through four of them, they they're blow up or they spotter and shoot a bunch of muleton."," light through four of them, they they're blow up or they spotter and shoot a bunch of muleton.",mutox-0d197b20b33d67a8ebc584f2_1598112_1604094.wav
70,No,,When I returned on board I felt half suffocated. What a night!,0,non-toxic," When I returned on board, I felt half suffocated. What a night."," When I returned on board, I felt half suffocated. What a night.",mutox-0d3bba7eea0c6fb9a42b1336_1063488_1067454.wav
71,No,,"Without taking into account,"" Ned answered, that once we're out of this damned",0,non-toxic," out taking into account, net answered, that once we're out of this damn"," out taking into account, net answered, that once we're out of this damn",mutox-0d3bba7eea0c6fb9a42b1336_418272_422142.wav
72,No,,where they thought they were going to have sex with little boys.,1,toxic, where they thought they were going to have sex with little boys.,"""Where they believed they would engage in inappropriate activities with minors.""",mutox-0e52ff6a2925928586ee3b4c_1721184_1723710.wav
73,No,,"When you say, hey, I'm not going to have sex until I'm married.",0,non-toxic," When you say, hey, I'm not going to have sex until I'm married."," When you say, hey, I'm not going to have sex until I'm married.",mutox-0e6db75131c24fcc66a1bb2b_1658400_1662462.wav
74,No,,"Chinese, you will never be Chinese.",1,toxic," Chinese, you will never be Chinese.","""You will never fully assimilate into Chinese culture.""",mutox-0e9d9f6b076ef209365e5ebf_597024_599166.wav
75,No,,are not ran over by the strong.,0,non-toxic, are not ran over by the strong, are not ran over by the strong,mutox-0eb70ef2b5af1e3c7d8c7d0a_1075392_1077630.wav
76,No,,"like a beast before you. Nevertheless, I am continually with you.",0,non-toxic," like a beast before you. Nevertheless, I am continually with you."," like a beast before you. Nevertheless, I am continually with you.",mutox-0ecab8b7621a1e246af84ad3_936096_941982.wav
77,No,,The enemy comes to kill.,0,non-toxic, the enemy comes to kill., the enemy comes to kill.,mutox-0ecfd6b26dfd24781d78a190_1680576_1683294.wav
78,No,,the street. What on earth does this mean? I ejaculated after I had twice read over The Extraordinary and,0,non-toxic, Street. What on earth does this mean I ejaculated after I had twice read over the extraordinary and I, Street. What on earth does this mean I ejaculated after I had twice read over the extraordinary and I,mutox-0ed46983f9fa40fcd37fd433_516576_524286.wav
79,No,,The Jews wanted rid of the Romans.,1,toxic, The Jews wanted rid of the Romans.,The Jewish people sought independence from Roman rule.,mutox-0f4b507d419cdee0e7768775_410496_412638.wav
80,No,,That includes you. He is a murderer. And he's also a liar.,0,non-toxic, He is a murderer. And he's also a liar., He is a murderer. And he's also a liar.,mutox-0f9236b8d218a6c508d86987_2091744_2095998.wav
81,No,,Close the doors because they're coming to kill you.,0,non-toxic, below the doors because they're coming to kill you., below the doors because they're coming to kill you.,mutox-0f9ae231065166f1dcb98ae4_1349952_1352286.wav
82,No,,"If a man lies with a woman and there is an emission of semen,",0,non-toxic," If a man lies with a woman and there is an omission of semen,"," If a man lies with a woman and there is an omission of semen,",mutox-0f9d5381896042ec085e16ad_127296_131550.wav
83,No,,"As he sees the camp of Israel, he describes its tents as lovely.",0,non-toxic, He sees a cup of Israel. He describes its tents as lovely., He sees a cup of Israel. He describes its tents as lovely.,mutox-0fa9f42a6f953e3ffbd82ec4_1314240_1318782.wav
84,No,,those false religions. I've known believers. I've talked with them personally.,0,non-toxic," those false religions. I've known believers, I've talked with them personally."," those false religions. I've known believers, I've talked with them personally.",mutox-0fc63a8a9906a7252a62373f_1944480_1950750.wav
85,No,,"I'm not sorry about this voyage under the seas. I'll be glad to have done it, but in order to have done it, it has to finish. That's my feeling.",0,non-toxic," I'm not sorry about this voyot under the seas. I'll be glad to have done it, but in order to have done it, it has to finish. That's my feeling."," I'm not sorry about this voyot under the seas. I'll be glad to have done it, but in order to have done it, it has to finish. That's my feeling.",mutox-0ffa71b3848c1980df25d232_190848_197310.wav
86,No,,and disperse them throughout the countries.,0,non-toxic, and disperse them throughout the country., and disperse them throughout the country.,mutox-102fa30d49128631144d9a87_1996800_1999998.wav
87,No,,And they are not like losers or ugly.,0,non-toxic, And they are not like losers or ugly., And they are not like losers or ugly.,mutox-105858510bb2f0cb1f036278_3818304_3821598.wav
88,No,,that the second book,0,non-toxic, that the second book., that the second book.,mutox-105f414015877b73f52b3c0a_1700928_1703550.wav
89,No,,"Yeah, you just gotta stop being gay and God will be okay with you.",1,toxic," Yeah, you just gotta stop being gay and I will be okay with you.","""I will accept you once you embrace your true self, regardless of your orientation.""",mutox-106325b4a23644d7b5aad341_965280_968286.wav
90,No,,idiot thinks that it's okay. It's not okay.,0,non-toxic," it, it thinks that it's okay. It's not okay."," it, it thinks that it's okay. It's not okay.",mutox-10888848227fc2c6dc63db9f_1953408_1956510.wav
91,No,,but people kill them anyway out of fear.,0,non-toxic, but people kill them anyway out of fear., but people kill them anyway out of fear.,mutox-10e6ef1b734d5748c5f578ca_214560_216990.wav
92,No,,"They're zealous in their faith, but they're cursed.",0,non-toxic," They're jealous in their faith, but they're cursed."," They're jealous in their faith, but they're cursed.",mutox-10f58ece862d6fdd6a285431_1011744_1015134.wav
93,No,,"She thought you were crazy too, and she really opposed it.",0,non-toxic," She thought you were crazy too, and she really opposed it."," She thought you were crazy too, and she really opposed it.",mutox-10fa3c4c62ff987102a0b3f7_297792_300414.wav
94,Yes,Profanities,griping about getting their shit stolen.,0,non-toxic, about getting their shit stolen., about getting their shit stolen.,mutox-10fda2474b8345364f960111_1809312_1811934.wav
95,No,,"will die spiritually, will die eternally.",0,non-toxic," will die spiritually, will die eternally."," will die spiritually, will die eternally.",mutox-1108e44677b6a0848300bcb0_588672_591390.wav
96,No,,of circumstances. So a mistake in that setting,0,non-toxic," her mother, Kirstie Rush, or her sister Janine Staley."," her mother, Kirstie Rush, or her sister Janine Staley.",mutox-11287c1f74d7b2cc8e19a26e_2294496_2299326.wav
97,Yes,Pornographic language,you see the Russian soldiers using rape as a strategy.,2,toxic," You see them using, you see the Russian soldiers using rape as a strategy.","""You observe the use of sexual violence as a strategy by Russian forces.""",mutox-11910033eb6cc15f00924be6_4224_8190.wav
98,Yes,Pornographic language,The station says it's learned that she was raped several times.,0,non-toxic, The station says it's learned that she was raped several times., The station says it's learned that she was raped several times.,mutox-11b807840f7071c2ff8582d1_2449440_2452254.wav
99,No,,"pornography, adultery.",2,toxic," pornography, adultery.","Mature themes, relationship fidelity issues.",mutox-123fc4e1cea2702fb4ec6e1a_3187968_3190014.wav
100,No,,"shall all die in the wilderness. Intellect is, as someone has said, a sort of disease.",0,non-toxic," all die in the wilderness. Intellect is, as someone has said, a sort of desire."," all die in the wilderness. Intellect is, as someone has said, a sort of desire.",mutox-124baeaf4ec45b8afdea095c_561696_567582.wav
101,No,,So to send a transgender person there really...,0,non-toxic," So to send a transgender person there, really."," So to send a transgender person there, really.",mutox-124f81475d4fe31f6fa1562a_767232_770910.wav
102,No,,without having to pretend to be somebody else. That is freedom.,0,non-toxic, without having to pretend to be somebody else. That is freedom., without having to pretend to be somebody else. That is freedom.,mutox-1279feb786d4409fb44e9618_383808_390366.wav
103,Yes,Profanities,I believed my own bullshit.,0,non-toxic, killer when I lived there I wasn't able to live., killer when I lived there I wasn't able to live.,mutox-12e31a030c48ee15dfa03996_164064_166494.wav
104,No,,electrocution it could scar you.,0,non-toxic," And that's when I realized, you know,"," And that's when I realized, you know,",mutox-12f6d7d61215b02a1b234678_1461888_1463934.wav
105,No,,"or make her puss. And since the gomorrah, there's another.",0,non-toxic," or make a pass. As is the gmard, there's another."," or make a pass. As is the gmard, there's another.",mutox-12fbe2e2c938b94fc6419771_604896_607614.wav
106,No,,She too engaged in sex work.,0,non-toxic, She too engaged in sex work., She too engaged in sex work.,mutox-131c4f20ed7ff0f0eed28170_3558720_3560862.wav
107,No,,Death in and rescue.,0,non-toxic, in and rescue him., in and rescue him.,mutox-136c923cee8fbfc95ff03569_1350144_1353054.wav
108,Yes,Profanities,and we can you don't have you don't have to pay for gas and all that shit,1,toxic, and we can you don't have you don't have to have to pay for gas and all that shit,"""and you won't need to worry about paying for gas and all those related expenses.""",mutox-137515033c7ed33b6a55f289_1335264_1338462.wav
109,No,,"her husband, that she put away her whoring from her face, and her adultery from between her breasts.",1,toxic," her husband, that she put away her horing from her face and her adultery from between her breasts.","""Her husband requested that she end her infidelities and remain faithful to their relationship.""",mutox-1408a9b0ee87077782561ee3_25248_31806.wav
110,Yes,"Pornographic language, Physical violence or bullying language",They undressed the dead women and cut their breasts.,0,non-toxic," They are undressed, the dead women uncut their breasts."," They are undressed, the dead women uncut their breasts.",mutox-141eaaaf325e80a812fde03b_1012128_1015614.wav
111,No,,that injections are bad words depending on whether or not they inject you or Pedrito. Damn boy.,0,non-toxic," that injections are bad, we're depending on whether or not the Injegu or Pedrito. Damn boy."," that injections are bad, we're depending on whether or not the Injegu or Pedrito. Damn boy.",mutox-141eaaaf325e80a812fde03b_2286336_2293950.wav
112,Yes,Hate speech,to connect black people to a master computer for a plan for Satan.,1,toxic, to connect black people to a master computer for a plan for Satan.,To establish a connection between individuals of African descent and a central computing system as part of a controversial plan.,mutox-143d6a5b771cf646ba69d568_905856_909342.wav
113,No,,had been sexually abusing their biological daughter.,2,toxic, had been sexually abusing their biological daughter.,Had been involved in unacceptable and detrimental actions toward their biological daughter.,mutox-144418a7d133f4e9f74738e4_64224_67230.wav
114,Yes,Hate speech,Why would blacks rather see whites dead?,1,toxic, Why would blacks rather see whites dead?,Why is there a perceived preference for conflict over coexistence between these communities?,mutox-14600a96caa889cd59006f9e_536064_540030.wav
115,No,,does wrong I will punish them with the rod of men.,0,non-toxic," He does wrong, I will punish him with the rod of men."," He does wrong, I will punish him with the rod of men.",mutox-147584dfc35c5a846318397c_1403328_1406718.wav
116,No,,You must sing to me with your breast against the thorn. All night long you must sing to me and the thorn must pierce your heart.,0,non-toxic," You must sing to me with your breast against the dawn. All night long, you must sing to me, and the dawn must pierce your heart."," You must sing to me with your breast against the dawn. All night long, you must sing to me, and the dawn must pierce your heart.",mutox-147c7d2764dd3fee788c0962_360480_367230.wav
117,No,,One of the major criticisms leveled against Christianity is the church is full of hypocrites.,1,toxic, One of the major criticisms level against Christianity is the Church is full of hypocrites.,A significant critique often directed at Christianity concerns the perceived inconsistency between believers' actions and the teachings they profess.,mutox-14b0190e3b6e088242ec24bd_802080_807582.wav
118,No,,then all the men of his town shall stone him to death.,0,non-toxic, then all the men of his town shall stone him to death., then all the men of his town shall stone him to death.,mutox-14b42aaf3ffc7d9abdce9c73_1111392_1114494.wav
119,No,,running to the concierge. Do you think the police are the fools you are? Everything points to the fact that you were out of doors,0,non-toxic, to the concierge. Do you think the police are the fools you are? Everything points to the fact that you were out of doors to the police., to the concierge. Do you think the police are the fools you are? Everything points to the fact that you were out of doors to the police.,mutox-151974185c3e029b5eda85fc_719424_726846.wav
120,No,,"I said they're like, your boobs are saying- You're no better than us.",1,toxic, They're like your boobs are saying you're you're no better than us,They imply that your appearance does not elevate your status above theirs.,mutox-15409ffc9239eac713029e11_1555488_1559454.wav
121,No,,and ejaculated in the same breath.,0,non-toxic, and de-jaculated in the same breath., and de-jaculated in the same breath.,mutox-156f6917b0ee72e3a02afb33_84672_86718.wav
122,No,,"in their hypocrisy, not willing to acknowledge...",0,non-toxic," in their hypocrisy, not willing to acknowledge."," in their hypocrisy, not willing to acknowledge.",mutox-15716d45ed43737625fbaf63_1433280_1436670.wav
123,Yes,Hate speech,These Christians are all going to hell.,3,toxic, These Christians are all going to hell.,"""There are those who believe that these Christians are practicing their faith in a way that differs from traditional interpretations of their religious doctrines.""",mutox-1575bc9652c145abdcd6c936_1968000_1970526.wav
124,No,,"If your sexuality has been violated, that...",0,non-toxic," If your sexuality has been violated, that..."," If your sexuality has been violated, that...",mutox-15775b1527162d794ccb796b_1967136_1970142.wav
125,Yes,Hate speech,"On that matter, homosexuality is a thing that is displeasing to God.",2,toxic," On that matter, homosexuality is a thing that is displeasing to God.","Regarding that topic, certain religious beliefs consider homosexuality to be inconsistent with spiritual standards.",mutox-159f3a30b9db57deb54293e8_1211520_1217310.wav
126,No,,sex party and then mysteriously disappear.,0,non-toxic, party and then mysteriously disappear., party and then mysteriously disappear.,mutox-15b165cfa0af2b7ee0bb3040_1608000_1610910.wav
127,Yes,Physical violence or bullying language,forced his servant girl into a sexual relationship.,1,toxic, forced his servant girl into a sexual relationship.,Coerced his domestic worker into an inappropriate relationship.,mutox-15b9520e8efb17842cccf354_966432_969630.wav
128,No,,Killing the husband is one way to get a wife.,1,toxic, killing the husband is one way to get a wife.,"""Securing a partner may involve removing their current significant other from the picture.""",mutox-15ebd4536491a0315f6f5ed6_769632_772350.wav
129,No,,Cracking his neck always made him feel a lot better.,0,non-toxic," Oh, Miss Landers, you look good."," Oh, Miss Landers, you look good.",mutox-166398ff07fea16fcb7ef390_1255296_1258302.wav
130,No,,"Behold, I am with you until I come.",0,non-toxic," We hold, I am with you until I come."," We hold, I am with you until I come.",mutox-167426de2a7e724c17dd815d_137760_140382.wav
131,No,,The laws of knighthood are straight since they extend not themselves to license the exchange of one ass for another.,1,toxic, laws of knighthood are straight since they extend not themselves to license the exchange of one's ass for another.,The rules of knighthood are clear in that they do not permit the exchange of one's horse for another.,mutox-169576108dbffd6e7b78fa38_1812384_1818558.wav
