true_label,true_label_detail,true_transcript,n_iterations,predict_label,initial_whisper_text,output_text
,,,1,toxic," pornography, adultery.","Adult content, marital infidelity."
,,,1,toxic," all die in the wilderness. Intellect is, as someone has said, a sort of desire.","Everyone meets their end in the wilderness. Intellect, as it has been observed, acts much like a form of longing."
,,,1,toxic," So to send a transgender person there, really.","Therefore, relocating a transgender individual to that place would be considerable."
,,,0,non-toxic, without having to pretend to be somebody else. That is freedom., without having to pretend to be somebody else. That is freedom.
,,,1,toxic, killer when I lived there I wasn't able to live.,Living there was unbearable for me.
,,,0,non-toxic," And that's when I realized, you know,"," And that's when I realized, you know,"
,,,0,non-toxic," or make a pass. As is the gmard, there's another."," or make a pass. As is the gmard, there's another."
,,,0,non-toxic, She too engaged in sex work., She too engaged in sex work.
,,,0,non-toxic, in and rescue him., in and rescue him.
,,,1,toxic, and we can you don't have you don't have to have to pay for gas and all that shit,"Additionally, you won't need to worry about covering fuel costs and similar expenses."
,,,1,toxic," her husband, that she put away her horing from her face and her adultery from between her breasts.","""Her husband requested that she leave behind her unfaithful ways and stop her infidelity."""
,,,0,non-toxic," They are undressed, the dead women uncut their breasts."," They are undressed, the dead women uncut their breasts."
,,,1,toxic," that injections are bad, we're depending on whether or not the Injegu or Pedrito. Damn boy.",The effectiveness of the injections is contingent upon whether they are administered by Injegu or Pedrito.
,,,2,toxic, to connect black people to a master computer for a plan for Satan.,"""To connect African American participants with a mainframe for a project with questionable objectives."""
,,,1,toxic, had been sexually abusing their biological daughter.,Had been mistreating their biological daughter in a very serious and inappropriate manner.
,,,1,toxic, Why would blacks rather see whites dead?,Why is there a perception of animosity towards white individuals among some Black communities?
,,,1,toxic," He does wrong, I will punish him with the rod of men.","If he makes a mistake, I will correct him using human methods."
,,,0,non-toxic," You must sing to me with your breast against the dawn. All night long, you must sing to me, and the dawn must pierce your heart."," You must sing to me with your breast against the dawn. All night long, you must sing to me, and the dawn must pierce your heart."
,,,0,non-toxic, One of the major criticisms level against Christianity is the Church is full of hypocrites., One of the major criticisms level against Christianity is the Church is full of hypocrites.
,,,0,non-toxic, then all the men of his town shall stone him to death., then all the men of his town shall stone him to death.
,,,0,non-toxic, to the concierge. Do you think the police are the fools you are? Everything points to the fact that you were out of doors to the police., to the concierge. Do you think the police are the fools you are? Everything points to the fact that you were out of doors to the police.
,,,1,toxic, They're like your boobs are saying you're you're no better than us,"""They're implying your assets suggest you're on the same level as us."""
,,,0,non-toxic, and de-jaculated in the same breath., and de-jaculated in the same breath.
,,,0,non-toxic," in their hypocrisy, not willing to acknowledge."," in their hypocrisy, not willing to acknowledge."
,,,1,toxic, These Christians are all going to hell.,These individuals hold beliefs that differ significantly from traditional Christian teachings.
,,,0,non-toxic," If your sexuality has been violated, that..."," If your sexuality has been violated, that..."
,,,0,non-toxic," On that matter, homosexuality is a thing that is displeasing to God."," On that matter, homosexuality is a thing that is displeasing to God."
,,,0,non-toxic, party and then mysteriously disappear., party and then mysteriously disappear.
,,,2,toxic, forced his servant girl into a sexual relationship.,Manipulated his employee into an inappropriate relationship.
,,,1,toxic, killing the husband is one way to get a wife.,Removing the husband from the picture offers a path to win over the wife.
,,,0,non-toxic," Oh, Miss Landers, you look good."," Oh, Miss Landers, you look good."
,,,1,toxic," We hold, I am with you until I come.",I support you and will continue to do so until my return.
,,,0,non-toxic, laws of knighthood are straight since they extend not themselves to license the exchange of one's ass for another., laws of knighthood are straight since they extend not themselves to license the exchange of one's ass for another.
,,,1,toxic, was a smother to death between huge pillows.,I was tightly enveloped in an overwhelming embrace by large cushions.
,,,2,toxic, Black folks would be around after this period.,Individuals with African heritage will continue to exist beyond this era.
,,,1,toxic, He married to death. He shall die then since you condemn him.,"His commitment was until death. If you judge him harshly, then he's facing his end."
,,,0,non-toxic, he decided to have sex ever., he decided to have sex ever.
,,,2,toxic, Jews have. Enough with circumcision. To the point that you know how many Jews,"Circumcision is a deeply rooted and widely observed practice within Jewish communities, reflecting a long-standing tradition."
,,,1,toxic, show you your own insanity. My own insanity here.,Help you see your own unique perspective. My own unique perspective here.
,,,0,non-toxic, Your body is full of darkness. He goes on., Your body is full of darkness. He goes on.
,,,0,non-toxic," the election of an openly gay, partnered bishop."," the election of an openly gay, partnered bishop."
,,,0,non-toxic," whoever slanders his neighbor secretly, I will destroy."," whoever slanders his neighbor secretly, I will destroy."
,,,0,non-toxic," God will strike you, you white-washed wall."," God will strike you, you white-washed wall."
,,,0,non-toxic, It will literally take control of you and it will destroy you., It will literally take control of you and it will destroy you.
,,,1,toxic, fuck off back to the Stone Age!,Please return to the Stone Age!
,,,1,toxic," raped every woman, almost every little girl.",Committed acts of violence against every woman and nearly every young girl.
,,,0,non-toxic," The king said, if you don't, we're going to blow you down."," The king said, if you don't, we're going to blow you down."
,,,0,non-toxic, But there was actually some really cool stuff that we did there., But there was actually some really cool stuff that we did there.
,,,0,non-toxic, and then they shoot her promptly., and then they shoot her promptly.
,,,0,non-toxic, either whether you're ugly or beautiful on the outside., either whether you're ugly or beautiful on the outside.
,,,0,non-toxic," And if you need a kick in the back end,"," And if you need a kick in the back end,"
,,,0,non-toxic," you lie like a rasgally clan returned on Kihote, and lifting his pike which he had never let out of his hand."," you lie like a rasgally clan returned on Kihote, and lifting his pike which he had never let out of his hand."
,,,0,non-toxic, the beast is the Antichrist and the false prophet is his false prophet., the beast is the Antichrist and the false prophet is his false prophet.
,,,0,non-toxic," which is completely assuming that we're so dumb, we have no logic left."," which is completely assuming that we're so dumb, we have no logic left."
,,,0,non-toxic, that a plunge in the seawater might have a beneficial effect. I can try to fasten the end of a rope around his body., that a plunge in the seawater might have a beneficial effect. I can try to fasten the end of a rope around his body.
,,,0,non-toxic, in terms of mutilating his body and so on and so forth., in terms of mutilating his body and so on and so forth.
,,,0,non-toxic, They show their foolishness., They show their foolishness.
,,,1,toxic," Muslim would become the greatest city on earth, and the peoples of all nations would stream to her for salvation.","The city would emerge as a distinguished global hub, attracting individuals from all corners of the world seeking enlightenment and peace."
,,,1,toxic," They called me like, lose their Muslim and...","""They mentioned something about distancing from their Muslim identity..."""
,,,0,non-toxic, go with the idea that sex is something, go with the idea that sex is something
,,,0,non-toxic," he doesn't find you, he will kill me."," he doesn't find you, he will kill me."
,,,1,toxic," had all transgressors, every person, been sent to hell.",Had every individual who violated principles been held accountable in a severe manner.
,,,0,non-toxic," He is a criminal, he is an extremist, but he will when I speak be nameless."," He is a criminal, he is an extremist, but he will when I speak be nameless."
,,,0,non-toxic, or or after you occurs from all the animals., or or after you occurs from all the animals.
,,,0,non-toxic," to kill us in the wilderness. What sort of a leader's, though?"," to kill us in the wilderness. What sort of a leader's, though?"
,,,0,non-toxic, hypocrites for they love to stand and, hypocrites for they love to stand and
,,,0,non-toxic, when you can be understanding of a person in that moment., when you can be understanding of a person in that moment.
,,,0,non-toxic, We deserve to die and we're separated from God., We deserve to die and we're separated from God.
,,,0,non-toxic," within a very little time, you were more corrupt than they in all your ways."," within a very little time, you were more corrupt than they in all your ways."
,,,0,non-toxic, actually assaulted her in a locked, actually assaulted her in a locked
,,,0,non-toxic, don't manage their life., don't manage their life.
,,,0,non-toxic," But keep and preserve it was a doctor course, sivrin from that employee to the air mine."," But keep and preserve it was a doctor course, sivrin from that employee to the air mine."
,,,0,non-toxic, just the idea that females also masturbate., just the idea that females also masturbate.
,,,1,toxic," you instead say that you're a Muslim, I will kill you.","If you claim to be a Muslim, it would lead to serious consequences."
,,,0,non-toxic," They cover the face of the earth and they are dwelling opposite me. Come now, curse this people for me."," They cover the face of the earth and they are dwelling opposite me. Come now, curse this people for me."
,,,0,non-toxic, that the mouth and the heart are linked together., that the mouth and the heart are linked together.
,,,1,toxic, I'm the Christian. You're the devil.,"""I follow the path of faith, whilst you seem to walk a different path."""
,,,1,toxic, But sex is very important.,"However, physical intimacy holds significant importance."
,,,0,non-toxic, Let this man be put to death for thus he weakened at the hands of the men of war that remained in this city., Let this man be put to death for thus he weakened at the hands of the men of war that remained in this city.
,,,0,non-toxic," with a certain candidate and not another candidate. For example,"," with a certain candidate and not another candidate. For example,"
,,,1,toxic," piece of shit. And whatever, like I don't, it didn't really like me, but one day I was at my sister's house.","It was quite troublesome. Anyway, it seems it wasn't very fond of me, but one day, I was at my sister's house."
,,,0,non-toxic," and the cock settled himself in the cock loft, and as they were all tired with their long journey they soon fell fast to sleep."," and the cock settled himself in the cock loft, and as they were all tired with their long journey they soon fell fast to sleep."
,,,0,non-toxic, You'd have to be crazy to want to be a part of this., You'd have to be crazy to want to be a part of this.
,,,1,toxic, They put the fat pieces on the breast and he burned the fat pieces on the altar.,They placed the fatty portions on the breast and then he incinerated the fatty portions on the altar.
,,,0,non-toxic, really because there is a concern, really because there is a concern
,,,0,non-toxic, foolish die for lack of understanding. Y'allways blessings bring wealth., foolish die for lack of understanding. Y'allways blessings bring wealth.
,,,0,non-toxic," market making a tonement for sins, but among the upright"," market making a tonement for sins, but among the upright"
,,,0,non-toxic," For at quarter past twelve, I will cut off your ears for you."," For at quarter past twelve, I will cut off your ears for you."
,,,0,non-toxic, But he did not have sexual relations with her until her son was born., But he did not have sexual relations with her until her son was born.
,,,0,non-toxic," departed, taking all sorts of choice gifts from his master."," departed, taking all sorts of choice gifts from his master."
,,,0,non-toxic," They reeled and staggered like a drunkard, and all their skill was useless."," They reeled and staggered like a drunkard, and all their skill was useless."
,,,0,non-toxic," has more over multiplied by fornication in the land of Canaan, Antikaldea."," has more over multiplied by fornication in the land of Canaan, Antikaldea."
,,,0,non-toxic, I don't want to be like those Christians over there., I don't want to be like those Christians over there.
,,,0,non-toxic, choose it. You bring those on age., choose it. You bring those on age.
,,,1,toxic," God hating, unbelieving, wicked, lacevious people.","Individuals who are skeptical, non-religious, morally challenged, and indulgent."
,,,1,toxic, So they know each other for a very long time so they fucked,"So they have known each other for a very long time, and they became intimately involved."
,,,0,non-toxic, Waping and other ways., Waping and other ways.
,,,0,non-toxic, and bear him a son. So he goes and he finds one who is a prostitute., and bear him a son. So he goes and he finds one who is a prostitute.
,,,0,non-toxic, police violence and police violence against black people, police violence and police violence against black people
,,,1,toxic, They kept on drinking and prostituting themselves in body and body.,They continued to indulge in excessive drinking and compromising their integrity through physical means.
,,,1,toxic," They need wild, crazy, radicalized Muslims.","They need individuals with unconventional, passionate beliefs."
,,,0,non-toxic, remember a couple weeks ago he called them dumb dogs because they were, remember a couple weeks ago he called them dumb dogs because they were
,,,0,non-toxic, because our brains are weird., because our brains are weird.
,,,0,non-toxic, is has never had an orgasm., is has never had an orgasm.
,,,1,toxic, as grotesque and again fucked up as it was.,"""as disturbing and deeply flawed as it was."""
,,,0,non-toxic, get killed this mission will be a failure., get killed this mission will be a failure.
,,,0,non-toxic," began to call out in Arabic. Christians, Christians, thieves, thieves,"," began to call out in Arabic. Christians, Christians, thieves, thieves,"
,,,0,non-toxic," Christians, thieves, thieves, by which cries we were all thrown into the greatest world."," Christians, thieves, thieves, by which cries we were all thrown into the greatest world."
,,,0,non-toxic, run in around with an emphasis on sex and virility and sexy. I think that we becoming paranoid., run in around with an emphasis on sex and virility and sexy. I think that we becoming paranoid.
,,,1,toxic, We are gonna have a talk. You would make new fuckers. You're so funny.,"""We're going to have a chat. You have a way of making new friends. You're so funny."""
,,,0,non-toxic, He who is under a law is under a curse., He who is under a law is under a curse.
,,,0,non-toxic, deserve nothing but condemnation., deserve nothing but condemnation.
,,,0,non-toxic," Now soothing her to sleep on a breast like a sick child. Thus I leave them, thus I always find them."," Now soothing her to sleep on a breast like a sick child. Thus I leave them, thus I always find them."
,,,0,non-toxic, the worst sin in Judaism., the worst sin in Judaism.
,,,0,non-toxic, Bleach is tears. The tears of a person for you., Bleach is tears. The tears of a person for you.
,,,0,non-toxic, I will float them in rafts by the sea to the place you indicate to me and will have them broken apart there., I will float them in rafts by the sea to the place you indicate to me and will have them broken apart there.
,,,0,non-toxic," Damn. See, but it's not, see, the thing is there are two..."," Damn. See, but it's not, see, the thing is there are two..."
,,,0,non-toxic, evil to drink coffee or tea is it inherently evil to have consensual sex?, evil to drink coffee or tea is it inherently evil to have consensual sex?
,,,1,toxic, the right to kill a baby if it is an inconvenient.,The right to terminate a pregnancy if it is not feasible.
,,,0,non-toxic," You know, a fool is someone who's ignorant but doesn't know."," You know, a fool is someone who's ignorant but doesn't know."
,,,0,non-toxic," upon my flowery breast, kept holy for himself alone, there he stayed sleeping. And I caressed him."," upon my flowery breast, kept holy for himself alone, there he stayed sleeping. And I caressed him."
,,,0,non-toxic," think of that, they sought to kill him because he was suffering for righteousness safe."," think of that, they sought to kill him because he was suffering for righteousness safe."
,,,0,non-toxic, Bible does point to the fact that homosexuality and homosexual behavior is outside of God's, Bible does point to the fact that homosexuality and homosexual behavior is outside of God's
,,,0,non-toxic, He says we can't learn it from there. Okay?, He says we can't learn it from there. Okay?
,,,0,non-toxic, That's going to be what makes your unique contributions., That's going to be what makes your unique contributions.
,,,0,non-toxic, That'd be a little bit stupid., That'd be a little bit stupid.
,,,0,non-toxic," Again, crazy. You can't get it cheaper anywhere else. Yeah."," Again, crazy. You can't get it cheaper anywhere else. Yeah."
,,,0,non-toxic, is a murderer and you know that no murderer is a murderer., is a murderer and you know that no murderer is a murderer.
,,,1,toxic, So he went to help her and saw two black bitches with chains around their necks.,So he went to assist her and saw two black dogs with collars around their necks.
,,,0,non-toxic," whatever person's among you, having put away their companions for the cause of fornication."," whatever person's among you, having put away their companions for the cause of fornication."
,,,0,non-toxic," thought she would remember it was through my chamber, you had penetrated hers."," thought she would remember it was through my chamber, you had penetrated hers."
,,,0,non-toxic," thought she would remember it was through my chamber you had penetrated hers, and that then she would suppose I was your accomplice."," thought she would remember it was through my chamber you had penetrated hers, and that then she would suppose I was your accomplice."
,,,0,non-toxic, to murder them. I mean isn't that historically?, to murder them. I mean isn't that historically?
,,,0,non-toxic, Idiots on television. It makes me want to die and then I mute it., Idiots on television. It makes me want to die and then I mute it.
,,,0,non-toxic," would receive the death penalty. And in June of 1790,"," would receive the death penalty. And in June of 1790,"
,,,1,toxic, The enemy comes to kill.,The adversary approaches with harmful intent.
,,,0,non-toxic, sexual relationships among young people., sexual relationships among young people.
,,,0,non-toxic," replied Athos, and does the husband of this frightful creature still live?"" said Aramis."," replied Athos, and does the husband of this frightful creature still live?"" said Aramis."
,,,0,non-toxic, And what she's going to do is gather her grandchildren together and kill them., And what she's going to do is gather her grandchildren together and kill them.
,,,0,non-toxic, I will put hooks in your jaws and cause the face of your ribbers, I will put hooks in your jaws and cause the face of your ribbers
,,,0,non-toxic," Fools with a garbled, impossible, incoherent, irrational viewpoint."," Fools with a garbled, impossible, incoherent, irrational viewpoint."
,,,0,non-toxic," when you explain straight sex to them, they say."," when you explain straight sex to them, they say."
,,,1,toxic, Mexico as a land to be conquered.,Mexico as a region to be explored and appreciated.
,,,0,non-toxic," We know something's up, we know that something's fucked up, but we don't know."," We know something's up, we know that something's fucked up, but we don't know."
,,,0,non-toxic," you know, we're not worthy and we're not beautiful and all this things be"," you know, we're not worthy and we're not beautiful and all this things be"
,,,0,non-toxic," from that stupidity. But yet, it had been easier to who to imagine."," from that stupidity. But yet, it had been easier to who to imagine."
,,,0,non-toxic," että joutsimme tuomaanłemmi sitten, ja tagallaan kes drugkuutaan!"," että joutsimme tuomaanłemmi sitten, ja tagallaan kes drugkuutaan!"
,,,0,non-toxic," and sex be here, and fill me from the crown to the toe top full of direst cruelty."," and sex be here, and fill me from the crown to the toe top full of direst cruelty."
,,,0,non-toxic, for not going to church. There are too many hypocrites in the church., for not going to church. There are too many hypocrites in the church.
,,,1,toxic, He would put me in my place quite swiftly.,He would swiftly correct me.
,,,0,non-toxic, He's not having to walk on all these stupid dirt roads., He's not having to walk on all these stupid dirt roads.
,,,1,toxic, And none of the sons of Israel shall be occult prostitute.,None of the descendants of Israel shall engage in secret or forbidden sexual practices.
,,,0,non-toxic, they can sexually exploit them., they can sexually exploit them.
,,,0,non-toxic," Chain Force Sexual Distortions, Exploitation."," Chain Force Sexual Distortions, Exploitation."
,,,0,non-toxic," In fact, it all came to pass by means of a stupid fellow, a lunatic."," In fact, it all came to pass by means of a stupid fellow, a lunatic."
,,,0,non-toxic," good heavens I ejaculated, the lunatics have most undoubtedly broken loose."," good heavens I ejaculated, the lunatics have most undoubtedly broken loose."
,,,1,toxic, that are going to rape. Women whenever they can.,"""Who are intent on assaulting women at any opportunity."""
,,,2,toxic, Waste as much a child of hell as yourselves.,"""Waste has an impact equivalent to the consequences of your actions."""
,,,0,non-toxic," and destroying them by fire. At another, I resolved to dig a grave for it in the floor of the cellar."," and destroying them by fire. At another, I resolved to dig a grave for it in the floor of the cellar."
,,,0,non-toxic, saw something littering on his breast. I took it., saw something littering on his breast. I took it.
,,,1,toxic," fucking time. Hello again, what about you? Five things that I like about myself.","""What a moment to connect once more. Hello again, how about you? Here are five things I appreciate about myself."""
,,,0,non-toxic, and the most of them is like the mafia., and the most of them is like the mafia.
,,,0,non-toxic," sexual imagery, erotic language, filthy jokes, things like that are making their way into"," sexual imagery, erotic language, filthy jokes, things like that are making their way into"
,,,0,non-toxic, Heart of fools is in the house of pleasure., Heart of fools is in the house of pleasure.
,,,0,non-toxic, You will be a fugitive and a vagabond., You will be a fugitive and a vagabond.
,,,1,toxic, contact the urinary sexual nature without consent is sexually.,Engaging in intimate contact without consent is a violation.
,,,1,toxic, It doesn't say he believes not and is not baptized.,"""It indicates that he does not have belief and has not been baptized."""
,,,1,toxic, I would really appreciate it if you would fuck me.,I would be very grateful if you would make love to me.
,,,1,toxic, skin and it's done. You shall burn with fire outside the can.,"Once the skin is removed, you should proceed to cook it with direct heat outside the container."
,,,0,non-toxic, because women are not respected., because women are not respected.
,,,0,non-toxic, or thousands of children being sexually violated., or thousands of children being sexually violated.
