id	lang	partition	public_url_segment	audio_file_transcript	contains_toxicity	toxicity_types	perlocutionary_effects	label	etox_result	detoxify_score	mutox_speech_score	mutox_text_score	mutox_zero_shot_speech_score	mutox_zero_shot_text_score	segment_path
ec7baf3d87e1b7b6ecb500c6_653184_659358	eng	train	https://faithtacomamp3.sfo2.cdn.digitaloceanspaces.com/mp3/fpc-2012-04-29-pm-sermon.mp3 653184 659358	and she has no breasts. What shall we do for our sister on the day when she is spoken for?	No	0	breasts	0.710628867149353	-20.55375862121582	-19.706422805786133					Data/ec7baf3d87e1b7b6ecb500c6_653184_659358_segment.wav
a4b96ca644229d1beaa85b_2925600_2929374	eng	train	https://nachurch.files.wordpress.com/2020/04/april19worship.m4a-2.mp3 2925600 2929374	Fools! Didn't he who made the outside make the inside too?	No	0	fools	0.9568859934806824	-17.685588836669922	-25.66156959533692					Data/a4b96ca644229d1beaa85b_2925600_2929374_segment.wav
7bb59125e66eb02b06f_2498016_2501886	eng	train	https://nsmhpcn.ca/wp-content/uploads/2022/02/grief-bereavement-let-s-discuss.mp3 2498016 2501886	We will be serving our community for many years to come.	No	0	0.000283353641862	-23.042192459106445	-20.623655319213867						Data/7bb59125e66eb02b06f_2498016_2501886_segment.wav
51f29a6bd7967744ce67f9f8_3909696_3912126	eng	train	https://cdn.frankspeech.com/audio/THRA11mp3164321/mp3/THRA11mp3164321.mp3 3909696 3912126	But I can use that same maniac.	No	0	0.7167896032333374	-1.7844573259353638	-24.40543937683105						Data/51f29a6bd7967744ce67f9f8_3909696_3912126_segment.wav
54d18fa265e47f11d_1109472_1113726	eng	train	https://cdn.reviveourhearts.com/radio_programs/revive-our-hearts/2018-04-18.mp3 1109472 1113726	a way of sexual expression and homosexuals as ordained ministers.	No	0	0.7119832038879395	-1.4451217651367188	-23.77245140075684						Data/54d18fa265e47f11d_1109472_1113726_segment.wav
59e7fe70f972facf230a8_348192_350718	eng	train	https://www.archive.org/download/divinecomedy2dramatic_1509_librivox/divinecomedy_037_alighieri_64kb.mp3 348192 350718	And showed me high upon his breast a wound.	No	0	0.9088277220726012	-30.53575325012207	-23.5390567779541						Data/59e7fe70f972facf230a8_348192_350718_segment.wav
c0d51bd5fbb26041fe5375f_1478112_1481214	eng	train	https://c33519745dd5df11b086-f05e21974ec28aceedac530e99a5f907.ssl.cf2.rackcdn.com/20210927_9am_pod.mp3 1478112 1481214	Would he actually violate the Queen while I am in the house?	No	0	0.7590612769126892	-8.6635103225708	-7.246059417724609						Data/c0d51bd5fbb26041fe5375f_1478112_1481214_segment.wav
1967c393095ab08af233_2671584_2675646	eng	train	https://aphid.fireside.fm/d/1437767933/1083b39b-3960-4ab2-820d-bdab49e3dd91/3b8acf51-2229-4c40-8be3-6f9de0aa2ef5.mp3 2671584 2675646	Strike Egypt with all my wonders, that I shall perform	No	0	0.8737052083015442	-30.103715896606445	-31.46210479736328						Data/1967c393095ab08af233_2671584_2675646_segment.wav
9e7f568ac752d1aa1fa2dda_1586496_1591134	eng	train	https://wvsop.com/wp-content/uploads/HillviewTerrace/Sermons/2009Sermons/2009-11-01-pm-Zechariah-No.9.mp3 1586496 1591134	Arabs and I will cut off the pride.	No	0	0.827748715877533	-8.616281509399414	-8.969491004943848						Data/9e7f568ac752d1aa1fa2dda_1586496_1591134_segment.wav
b8180ddddbd229227a1_392160_395550	eng	train	https://pmcdata.s3.amazonaws.com/pmc-audio/2019-12-28.mp3 392160 395550	Everybody was so distressed because it could kill you.	No	0	0.6999072432518005	-21.839529037475582	-24.16654396057129						Data/b8180ddddbd229227a1_392160_395550_segment.wav
34065da54d8bc1bbc467b6ba_8926560_8930430	eng	train	http://media.blubrry.com/timeforanawakeningmedia/p/www.timeforanawakening.com/wp-content/uploads/2018/12/Time-for-an-Awakening-with-Bro.-Elliott-12-2-18-guest-Fred-Hampton-Jr.-mp3.mp3 8926560 8930430	they're doing it for their Black people who will be puppeting.	No	0	0.8965396881103516	-1.5464195013046265	-22.367319107055664						Data/34065da54d8bc1bbc467b6ba_8926560_8930430_segment.wav
06a2e6bd889065d34b701e5f_1440576_1443198	eng	train	https://media.blubrry.com/closedforlogging/p/lookinsidethisbookclub.com/wp-content/uploads/litbc/litbc66.mp3 1440576 1443198	of ass. Poor me, I say.	No	0	ass	0.964677095413208	-16.32180404663086	-14.448111534118652					Data/06a2e6bd889065d34b701e5f_1440576_1443198_segment.wav
48dc9290cfb491c975924a_3505632_3508542	eng	devtest	http://comics-fondle-podcast.s3.amazonaws.com/cfs-20160605-pps.mp3 3505632 3508542	It's not so much that these monsters are...	No	0	0.6517027020454407	-40.6352424621582	-42.47557067871094						Data/48dc9290cfb491c975924a_3505632_3508542_segment.wav
1bc05dd2651af06fecb86f18_1662048_1667166	eng	train	http://www.eclea.net/sermons/the-three-axes-of-faith-devotion.mp3 1662048 1667166	I love God, but hates his brother, he is a liar.	No	0	0.9905539155006408	-1.519820213317871	-6.4728875160217285						Data/1bc05dd2651af06fecb86f18_1662048_1667166_segment.wav
2bbba80498454f4e315_3444384_3449790	eng	train	https://ipaudio.club/wp-content/uploads/HQ/TRECIA/Elite/06.mp3 3444384 3449790	Surely if he and I end up together, we'd remember what really happened no matter how silly it was.	No	0	0.6824062466621399	-28.734643936157227	-25.41619682312012						Data/2bbba80498454f4e315_3444384_3449790_segment.wav
07534860df932a7a0c4e8e92_603744_611454	eng	train	http://www.archive.org/download/works_poe_raven_edition_vol1_1109/worksofpoevol1_10_poe_64kb.mp3 603744 611454	but by no means the lesser deity. His name is a derivation of the Greek simia. What great fools are the antiquarians!	No	0	fools	0.9447851181030272	-19.31734848022461	-15.786748886108398					Data/07534860df932a7a0c4e8e92_603744_611454_segment.wav
2b5057b7872ece2e0cca3928_70944_76734	eng	train	http://www.archive.org/download/three_musketeers_v_2_mfs_1805_librivox/threemusketeers2_29_dumas_64kb.mp3 70944 76734	Since Yudhter Treveal had spoken of her to the Queen, the Queen was ignorant where the Mercer's young wife was.	No	0	0.6982492804527283	-34.10445022583008	-39.85332489013672						Data/2b5057b7872ece2e0cca3928_70944_76734_segment.wav
f73818074e85dd39f6b35bd_580800_583710	eng	train	https://www.archive.org/download/favorite_fairy_tales_1203_librivox/favoritefairytales_14__64kb.mp3 580800 583710	We have killed one, we must now find the other.	No	0	0.7253739237785339	-14.420900344848633	-21.48412704467773						Data/f73818074e85dd39f6b35bd_580800_583710_segment.wav
d468957665a719cc06c13f_723936_726558	eng	devtest	http://www.archive.org/download/breaking_point_1103_librivox/breakingpoint_14_rinehart_64kb.mp3 723936 726558	seem to ignore utterly their new idiocy.	No	0	0.9872085452079772	-15.32980251312256	-9.416298866271973						Data/d468957665a719cc06c13f_723936_726558_segment.wav
a264dabfc5fc54d8f3d526_1751808_1754622	eng	dev	http://thewhitenetwork-archive.com/data/audio/tWn_The_Heretics_Hour_20120827.mp3 1751808 1754622	You know, this, the blacks seem to be taking over.	No	0	0.6829976439476013	-5.589848518371582	-10.90719223022461						Data/a264dabfc5fc54d8f3d526_1751808_1754622_segment.wav
6bbca17d8a3ecb5854f974_2025120_2028990	eng	train	https://s3-ap-southeast-2.amazonaws.com/gerejafocusindonesia/2012/2012-07-15.mp3 2025120 2028990	has become a Christian. Formerly, he was useless to you.	No	0	0.9518057703971864	-1.4372553825378418	-22.38263893127441						Data/6bbca17d8a3ecb5854f974_2025120_2028990_segment.wav
2f7e73901d8c36799da54f98_118080_121566	eng	train	https://media2.ldscdn.org/assets/scriptures/the-old-testament/2015-11-4190-nehemiah-06-male-voice-64k-eng.mp3 118080 121566	shut up. And he said, let us meet together in the	No	0	0.9086918830871582	-11.956380844116213	-25.51503562927246						Data/2f7e73901d8c36799da54f98_118080_121566_segment.wav
13246	eng	train	https://www.archive.org/download/wizard_of_oz/wizardofoz_06_baum_64kb.mp3 209184 213246	What is that little animal you are so tender of? He is my dog.	No	0	0.7056329250335693	-2.640023708343506	-32.6901741027832						Data/13246_segment.wav
2ff0603eab56dae8dec9415_293280_297246	eng	train	https://www.cmm.org.za/wp-content/uploads/2014/05/2014-05-11.mp3 293280 297246	killed any longer. And not long after her.	No	0	0.7565555572509766	-19.98691177368164	-11.013193130493164						Data/2ff0603eab56dae8dec9415_293280_297246_segment.wav
81b4209ba29e71b69a234b_1268064_1271454	eng	train	http://www.contendingfortruth.com/wp-content/uploads/2016/09/477.4-9-5-16.mp3 1268064 1271454	of the tallest man reached only to his breast.	No	0	0.6621648073196411	-1.504296064376831	-17.924169540405273						Data/81b4209ba29e71b69a234b_1268064_1271454_segment.wav
1f1313c489b4b62def1d2_441216_447966	eng	train	https://herald-magazine.com/wp-content/uploads/2017/04/2017_05-06_09_the-poetic-prophet-micah-part-1.mp3 441216 447966	I will go stripped and naked, I will make lamentation like the jackals and mourning like the ostriches.	Yes	Pornographic language	None of the above	1	0.977339804172516	41.18671417236328	1.279478907585144				Data/1f1313c489b4b62def1d2_441216_447966_segment.wav
6624e5f04e77076dd26b72_1789152_1791390	eng	train	https://ipaudio4.com/wp-content/uploads/AUDIO/Furyborn/16.mp3 1789152 1791390	Shut up. Thank you.	Yes	Physical violence or bullying language	None of the above	1	0.9507295489311218	22.62713050842285	20.84834861755371				Data/6624e5f04e77076dd26b72_1789152_1791390_segment.wav
53e3180975398c729dfaf0f8_380160_385758	eng	train	https://media.thefablecottage.com/stories/envol16hs9kv2/jack-enb-full.mp3 380160 385758	I hate humans. He sat down at the table in the kitchen.	Yes	Hate speech	Aggressive (including passive-aggressive) tone of voice	1	0.9275418519973756	-1.3893098831176758	-0.5440847873687744				Data/53e3180975398c729dfaf0f8_380160_385758_segment.wav
c1605536a72a3290dcea4f7_1170240_1174206	eng	train	https://s3.amazonaws.com/listen.craftbeercast.com/296.mp3 1170240 1174206	They're going to make money out of this bitch somehow. Yep. Somehow, someway.	Yes	Physical violence or bullying language	None of the above	1	bitch	0.9754981398582458	-1.2834525108337402	15.281909942626951			Data/c1605536a72a3290dcea4f7_1170240_1174206_segment.wav
83dab0dc2fdc2bbe4c67b_3540672_3543102	eng	train	http://stopfeedingthepredators.org/wp-content/uploads/2015/07/1-31-15sftp.mp3 3540672 3543102	Rape is always the fault of the aggressor.	Yes	Physical violence or bullying language	None of the above	1	0.915002942085266	-1.721320867538452	28.890810012817383				Data/83dab0dc2fdc2bbe4c67b_3540672_3543102_segment.wav
04917b6ad1c046f621fca915_5861760_5864670	eng	train	https://pdcn.co/e/www.buzzsprout.com/357443/9219691-146-the-phantom-of-the-opera-2004.mp3 5861760 5864670	Fuck, this is a movie. I do remember-	Yes	Profanities	None of the above	1	fuck	0.953785002231598	9.219809532165527	33.52678298950195			Data/04917b6ad1c046f621fca915_5861760_5864670_segment.wav
bf439144494aeb0f73adf064_5232288_5234526	eng	train	http://podcast.kff.org/podcast/2010/011910_kff_media_audio.mp3 5232288 5234526	early sexual activity, et cetera.	Yes	Pornographic language	None of the above	1	0.5605607628822327	8.854073524475098	5.119741439819336				Data/bf439144494aeb0f73adf064_5232288_5234526_segment.wav
8af2c323a6ae2a_2005536_2007966	eng	devtest	http://garrisonchurchofgod.com/xmedia/1815/Audio/AlanHathaway5-8-22.mp3 2005536 2007966	why aren't you killing the Hebrew boys	Yes	Hate speech	Aggressive (including passive-aggressive) tone of voice, Veiled threats	1	0.9661155939102172	-2.0366268157958984	1.6450129747390747				Data/8af2c323a6ae2a_2005536_2007966_segment.wav
a3314544535b5124_1327008_1332798	eng	train	http://www.archive.org/download/divine_comedy_librivox/divinecomedy_longfellow_10_dante_64kb.mp3 1327008 1332798	But if the love of the Soprano's fear should upwardly direct your aspiration, there would not be that fear within your breasts.	Yes	Profanities	None of the above	1	breasts|your breasts	0.6400340795516968	38.85054397583008	54.0988883972168			Data/a3314544535b5124_1327008_1332798_segment.wav
e58841faa15a3c7868bea35_8180448_8183454	eng	devtest	http://www.stephankinsella.com/wp-content/uploads/media/kinsella-libertopia-2012-intellectual-nonsense-2.mp3 8180448 8183454	and you instead say that you're a Muslim, I will kill you.	Yes	Hate speech, Physical violence or bullying language	Veiled threats	1	0.9900817275047302	6.377072811126709	37.00924301147461				Data/e58841faa15a3c7868bea35_8180448_8183454_segment.wav
30	eng	train	https://www.goriverchurch.com/hp_wordpress/wp-content/uploads/2019/08/to-see-1.mp3 2380896 2385630	Don't forget, you're just nothing. You're garbage.	Yes	Physical violence or bullying language	Aggressive (including passive-aggressive) tone of voice	1	0.992753803730011	-1.3913116455078125	30.04068946838379				Data/30_segment.wav
e3c43d6f8cf1017_74208_78462	eng	train	https://www.archive.org/download/pride_prejudice_krs_librivox/pride_and_prejudice_20_austen_64kb.mp3 74208 78462	She is a very headstrong, foolish girl, and does not know her own interests.	Yes	Physical violence or bullying language	None of the above	1	0.9854943752288818	32.32915496826172	33.87324142456055				Data/e3c43d6f8cf1017_74208_78462_segment.wav
c01b6f138f6e680bdbb03a9_2753184_2755518	eng	train	https://rss.art19.com/episodes/d1e699f7-ef58-45df-8210-fff8d91b5026.mp3 2753184 2755518	and soul. Here comes the big butt. Oh my gosh.	Yes	Pornographic language, Slurs	None of the above	1	butt	0.8956478238105774	-1.914580464363098	13.2621431350708			Data/c01b6f138f6e680bdbb03a9_2753184_2755518_segment.wav
1cc015804fabc69d3766_537792_543678	eng	train	https://www.podtrac.com/pts/redirect.mp3/thedrunkentaoist.com/media/episodes/the.drunken.taoist.ep121.mp3 537792 543678	Fuck. It's an amazing energy, isn't it?	Yes	Profanities	None of the above	1	fuck	0.9490649104118348	4.885362148284912	36.30376815795898			Data/1cc015804fabc69d3766_537792_543678_segment.wav
fc9dfd0afd7a7b7a3b066fa1_735168_738846	eng	train	http://s3.amazonaws.com/immanuelstl-storage/wp-content/uploads/2019/09/08160009/09-01-19.mp3 735168 738846	Whoever does any kind of work on it shall be put to death.	Yes	Physical violence or bullying language	None of the above	1	0.8668641448020935	-2.637640476226806	-0.1664080619812011				Data/fc9dfd0afd7a7b7a3b066fa1_735168_738846_segment.wav
58101c59727edd83b8a87_266496_270558	eng	train	https://media.blubrry.com/anomic_age/p/content.blubrry.com/anomic_age/AA_Hardy_59.mp3 266496 270558	the author of I'm from the government and I'm here to kill you.	Yes	Physical violence or bullying language	None of the above	1	0.982703447341919	-1.3191933631896973	10.92428207397461				Data/58101c59727edd83b8a87_266496_270558_segment.wav
5e915faf7154bfe50cbe908_20928_24414	eng	train	https://christcovenantbc.files.wordpress.com/2022/03/mark-9.30-37-who-is-the-greatest-13-march-2022.mp3 20928 24414	And they will kill him. And after he is killed,	Yes	Physical violence or bullying language	None of the above	1	0.9812161326408386	5.309252262115479	11.6773681640625				Data/5e915faf7154bfe50cbe908_20928_24414_segment.wav
d5c77a6549021e8127d5646_50784_53406	eng	train	https://nextstepfellowship.files.wordpress.com/2012/06/sermonaudio2-5-17.mp3 50784 53406	He's gonna be beheaded by sword.	Yes	Physical violence or bullying language	None of the above	1	0.9867017865180968	13.36127758026123	16.837472915649414				Data/d5c77a6549021e8127d5646_50784_53406_segment.wav
d4d11fc44df1f05798c05b8_1393248_1397790	eng	train	https://bulkingtoncongregational.org/wp-content/uploads/sites/4/2021/09/Sun2021-9-19pm.mp3 1393248 1397790	He had to die because of his moral standards.	Yes	Physical violence or bullying language	Veiled threats	1	0.7721382975578308	-1.2085366249084473	14.58113956451416				Data/d4d11fc44df1f05798c05b8_1393248_1397790_segment.wav
f7fe685712d891b7fb196_993504_995646	eng	train	http://lfwc.us/wp-content/uploads/2014/04/Power-over-the-Striker.mp3 993504 995646	See, look at how silly we get.	Yes	Physical violence or bullying language	Aggressive raising of the voice	1	0.943175196647644	-1.6602281332015991	13.881437301635742				Data/f7fe685712d891b7fb196_993504_995646_segment.wav
5d3e21a9a28812609d998_2004288_2008350	eng	dev	https://www.fojcradio.com/podcast-download/4795/431-pissing-against-the-wall-of-jezreel.mp3 2004288 2008350	And I will kill her children with death	Yes	Physical violence or bullying language	Aggressive (including passive-aggressive) tone of voice, Veiled threats	1	0.9869381189346312	-13.94632053375244	-15.04103660583496				Data/5d3e21a9a28812609d998_2004288_2008350_segment.wav
1cb058e55746c81a714_786144_788958	eng	train	https://feeds.soundcloud.com/stream/1275072259-priests-for-life-praying-for-america-with-rsbn-and-fr-frank-pavone.mp3 786144 788958	If we tell a mother that she can kill her own child.	Yes	Physical violence or bullying language	None of the above	1	0.6779915690422058	-1.899970531463623	34.40537643432617				Data/1cb058e55746c81a714_786144_788958_segment.wav
70f310633b20468b8ec71b_930432_934014	eng	train	https://www.rightdivision.com/wp-content/uploads/20150208.mp3 930432 934014	and and some of the chumps that we have in political office	Yes	Slurs	None of the above	1	0.9171404838562012	-1.4241933822631836	21.34754753112793				Data/70f310633b20468b8ec71b_930432_934014_segment.wav
bf737911b64b5252acbca150_904992_911070	eng	train	http://www.archive.org/download/snowdrop_1112_librivox/snowdropandothertales_28_grimm_64kb.mp3 904992 911070	"Yes, if you've got any money."" Money enough,"" he answered, but your balls aren't quite round."	Yes	Pornographic language	None of the above	1	0.8229345679283142	30.981306076049805	5.524319648742676				Data/bf737911b64b5252acbca150_904992_911070_segment.wav
0133b50275e46401c74d5_604992_609918	eng	train	https://www.summercreekbc.org/wp-content/uploads/2017/07/7-2-17.mp3 604992 609918	aggressiveness which would be murderous were he not so helpless. He's dirty.	Yes	Hate speech, Physical violence or bullying language, Slurs	Aggressive (including passive-aggressive) tone of voice	1	0.9576703310012816	11.40146541595459	24.561918258666992				Data/0133b50275e46401c74d5_604992_609918_segment.wav
8461e9665b6afa4f72caba_913344_915870	eng	train	https://mp3.sermonaudio.com/filearea/220201734107067/220201734107067.mp3 913344 915870	He said, throw her down.	Yes	Physical violence or bullying language	None of the above	1	0.6144020557403564	24.77256202697754	18.68830680847168				Data/8461e9665b6afa4f72caba_913344_915870_segment.wav
f8cac9c2fb35340d8dbc5_3074208_3078462	eng	train	https://aphid.fireside.fm/d/1437767933/ab0f033b-c552-4c95-bd82-7516140cc025/2d500159-246e-42ee-bd03-d4abe8d4e640.mp3 3074208 3078462	video of this shit some guy who risked his life	Yes	Profanities	Aggressive (including passive-aggressive) tone of voice	1	shit	0.9616159796714784	-1.7304767370224	26.23119354248047			Data/f8cac9c2fb35340d8dbc5_3074208_3078462_segment.wav
6d18bad779282ceb0_1248768_1250814	eng	train	https://dts.podtrac.com/redirect.mp3/chrt.fm/track/8DB4DB/pdst.fm/e/nyt.simplecastaudio.com/03d8b493-87fc-4bd1-931f-8a8e9b945d8a/episodes/e09e6c68-4a32-4bc1-a9e9-b75f33e97810/audio/128/default.mp3 1248768 1250814	shot his grandmother in the face.	Yes	Physical violence or bullying language	None of the above	1	0.9000983834266663	-2.775217056274414	-0.4150469899177551				Data/6d18bad779282ceb0_1248768_1250814_segment.wav
f092d42c324afc99591f760f_1506432_1509438	eng	dev	https://www.calvarychapelflowermound.org/hp_wordpress/wp-content/uploads/2016/01/01-1-Peter-5_8-14-1-24-16.mp3 1506432 1509438	about their illicit sexual activity.	Yes	Pornographic language	None of the above	1	0.543194591999054	0.3693163990974426	-3.362034320831299				Data/f092d42c324afc99591f760f_1506432_1509438_segment.wav
058caec2e3cf9ef9f5a_926592_933822	eng	train	https://podcasts.tyndale.com/wp-content/blogs.dir/20/files/2018/07/ImmerseProphetsWeek6Day28.mp3 926592 933822	scatter his servants and warriors to the four winds and send the sword after them. And when I scatter them	Yes	Physical violence or bullying language	Aggressive (including passive-aggressive) tone of voice	1	0.8390498161315918	13.161669731140137	28.376840591430664				Data/058caec2e3cf9ef9f5a_926592_933822_segment.wav
487cbafa68f749949dbf5a0a_5037792_5040606	eng	devtest	https://cldup.com/jYa_5mN7y2.mp3 5037792 5040606	You're crazy. You're dumber than a box of rocks.	Yes	Physical violence or bullying language	Aggressive (including passive-aggressive) tone of voice	1	0.9968463778495787	64.57557678222656	62.49468612670898				Data/487cbafa68f749949dbf5a0a_5037792_5040606_segment.wav
46972eff955f2d67051efdda_2013696_2015742	eng	train	https://southstreetchurch.org.uk/wp-content/uploads/2021/04/Easter-Service-Preach.mp3 2013696 2015742	Our preaching is useless.	Yes	Hate speech	Aggressive raising of the voice, Aggressive (including passive-aggressive) tone of voice	1	0.8234416842460632	-2.433259963989258	-0.0469697713851928				Data/46972eff955f2d67051efdda_2013696_2015742_segment.wav
